edicion lolla,artista,minutaje,pantalla principal,juego de luces,tipo de vestimenta,cambio de vestuario,baile,instrumental en vivo,interaccion publico,escenografía,interrupciones,link presentacion
2011,The Killers,0:00:32,En negro,Luces azules y celestes en todo el escenario,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,"Si. La banda estaba conformada por el baterista, guitarrista vocalista y el bajista",No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/X7MNEzCA3M4?si=MsjtA6l0OeTPlvD7
2011,The Killers,0:01:54,Cámara mostrando al público,Luces amarillas y azules,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,"Si. La banda estaba conformada por el baterista, guitarrista, vocalista y el bajista",No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/X7MNEzCA3M4?si=5SC5igZt1i9N8oj_
2011,The Killers,0:02:55,Pantallas mostrando a la banda,"Luces rojas, amarillas y rosadas","Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,"Si. La banda estaba conformada por el baterista, guitarrista, vocalista y el bajista",No,Humo saliendo por los costados del escenario,No,https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011,The Killers,0:04:44,En negro,Luces blancas tipo flash,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,Si. El vocalista comienza a tocar el teclado,No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011,The Killers,0:08:21,Pantallas mostrando a la banda,Luces rojas y azules intermitentes,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,Si. El vocalista comienza a tocar el teclado,No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011,The Killers,0:02:41,Pantallas mostrando a la banda,Luces rojas y amarillas intermitentes,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,Si. El bajista hace un solo,No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/SY983dBD-mU?si=7BmqSQVtb9PBlzX-
2011,The Killers,0:04:46,Pantallas mostrando a la banda,Luces rojas que iluminan al público,"Vocalista con traje formal, guitarrista y bajista con traje semi formal y baterista con polera y pantalón normal",No,No,Si. El vocalista comienza a corear con la gente,No,Luces led pequeñas distribuidas y una letra K en grande,No,https://youtu.be/SY983dBD-mU?si=7BmqSQVtb9PBlzX-
2011,Jane's Addiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Kanye West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Björk ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Foo Fighters ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Arctic Monkeys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Pearl Jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Queens Of The Stone Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,The Black Keys ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,deadmau5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nine Inch Nails,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Red Hot Chili Peppers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Arcade Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
